,DATO,PO_KODE,PO_NAVN,ARTSID,TRAFFIC_LIGHT,BEHFISK_STK,BIOMASSE_KG
272,2019-01-01,03,Karmøy til Sotra,LAKS,red,41966473,94220820
274,2019-01-01,04,Nordhordland til Stadt,LAKS,red,36855615,67998044
276,2019-01-01,05,Stadt til Hustadvika,LAKS,yellow,20060058,39479107
278,2019-01-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,54915063,111176856
280,2019-01-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,31588342,63219421
281,2019-01-01,08,Helgeland til Bodø,LAKS,green,42312313,80426486
282,2019-01-01,09,Vestfjorden og Vesterålen,LAKS,green,38400715,75464335
284,2019-01-01,10,Andøya til Senja,LAKS,green,39260329,72786995
285,2019-01-01,11,Kvaløy til Loppa,LAKS,green,19060462,39233182
286,2019-01-01,12,Vest-Finnmark,LAKS,green,38543785,65751970
287,2019-01-01,13,Øst-Finnmark,LAKS,green,1675224,2668449
288,2019-02-01,01,Svenskegrensen til Jæren,LAKS,green,5314235,15969423
289,2019-02-01,02,Ryfylket,LAKS,yellow,21448582,39915849
290,2019-02-01,03,Karmøy til Sotra,LAKS,red,39440356,90953764
292,2019-02-01,04,Nordhordland til Stadt,LAKS,red,34278543,61808132
294,2019-02-01,05,Stadt til Hustadvika,LAKS,yellow,20636725,43114202
296,2019-02-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,51415820,104392336
298,2019-02-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,30474293,65904735
299,2019-02-01,08,Helgeland til Bodø,LAKS,green,39820607,77298566
300,2019-02-01,09,Vestfjorden og Vesterålen,LAKS,green,36415213,74190112
302,2019-02-01,10,Andøya til Senja,LAKS,green,37064588,70338744
304,2019-02-01,11,Kvaløy til Loppa,LAKS,green,17898501,36057348
305,2019-02-01,12,Vest-Finnmark,LAKS,green,37198097,65438631
306,2019-02-01,13,Øst-Finnmark,LAKS,green,1480528,1854359
307,2019-03-01,01,Svenskegrensen til Jæren,LAKS,green,4312543,11803358
308,2019-03-01,02,Ryfylket,LAKS,yellow,20940281,37831880
309,2019-03-01,03,Karmøy til Sotra,LAKS,red,42892525,87567314
311,2019-03-01,04,Nordhordland til Stadt,LAKS,red,33494927,58123592
313,2019-03-01,05,Stadt til Hustadvika,LAKS,yellow,20126537,45548871
315,2019-03-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,51864499,105640754
317,2019-03-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,27797441,62991965
318,2019-03-01,08,Helgeland til Bodø,LAKS,green,37128880,73704416
319,2019-03-01,09,Vestfjorden og Vesterålen,LAKS,green,34222340,72142843
321,2019-03-01,10,Andøya til Senja,LAKS,green,34988684,66503209
323,2019-03-01,11,Kvaløy til Loppa,LAKS,green,17146717,35570359
324,2019-03-01,12,Vest-Finnmark,LAKS,green,35528039,64449493
325,2019-03-01,13,Øst-Finnmark,LAKS,green,1440272,1934641
326,2019-04-01,01,Svenskegrensen til Jæren,LAKS,green,3717205,9469800
327,2019-04-01,02,Ryfylket,LAKS,yellow,21818220,32176785
328,2019-04-01,03,Karmøy til Sotra,LAKS,red,48505386,84045189
330,2019-04-01,04,Nordhordland til Stadt,LAKS,red,41121723,55291902
332,2019-04-01,05,Stadt til Hustadvika,LAKS,yellow,21870609,49656431
334,2019-04-01,06,Nordmøre til Sør-Trøndelag,LAKS,green,59722128,105172228
336,2019-04-01,07,Nord-Trøndelag med Bindal,LAKS,yellow,29376539,64329446
337,2019-04-01,08,Helgeland til Bodø,LAKS,green,37760577,70004949
338,2019-04-01,09,Vestfjorden og Vesterålen,LAKS,green,32495489,68814937
340,2019-04-01,10,Andøya til Senja,LAKS,green,35685693,62211969
342,2019-04-01,11,Kvaløy til Loppa,LAKS,green,17756277,35100353
343,2019-04-01,12,Vest-Finnmark,LAKS,green,36990811,64714168
344,2019-04-01,13,Øst-Finnmark,LAKS,green,1422735,2014523
